Date,County,NumFacilities,Cases_Residents,Cases_Employees,Deaths,NH_TotalCases
2020-04-16,Adams,1,2,0,1,2
2020-04-16,Allegheny,18,121,34,26,155
2020-04-16,Beaver,2,61,9,10,70
2020-04-16,Berks,13,188,41,14,229
2020-04-16,Bucks,31,186,35,29,221
2020-04-16,Butler,3,9,8,2,17
2020-04-16,Carbon,2,11,1,5,12
2020-04-16,Chester,15,111,14,19,125
2020-04-16,Clarion,1,1,0,0,1
2020-04-16,Clearfield,1,1,0,0,1
2020-04-16,Columbia,1,12,2,0,14
2020-04-16,Cumberland,3,30,3,2,33
2020-04-16,Dauphin,3,35,2,1,37
2020-04-16,Delaware,34,299,34,49,333
2020-04-16,Erie,1,1,0,0,1
2020-04-16,Fayette,1,3,0,1,3
2020-04-16,Indiana,2,11,0,2,11
2020-04-16,Lackawanna,9,172,17,13,189
2020-04-16,Lancaster,17,210,48,23,258
2020-04-16,Lebanon,1,4,1,0,5
2020-04-16,Lehigh,10,112,25,10,137
2020-04-16,Luzerne,11,127,11,22,138
2020-04-16,Lycoming,1,0,1,0,1
2020-04-16,Mercer,1,1,0,0,1
2020-04-16,Monroe,6,59,18,13,77
2020-04-16,Montgomery,55,584,18,64,602
2020-04-16,Northampton,10,175,44,9,219
2020-04-16,Philadelphia,43,666,3,35,669
2020-04-16,Pike,1,17,1,1,18
2020-04-16,Susquehanna,3,30,3,1,33
2020-04-16,Washington,1,0,1,0,1
2020-04-16,Westmoreland,4,51,19,13,70
2020-04-16,York,1,0,1,0,1
2020-04-17,Adams,1,2,0,1,2
2020-04-17,Allegheny,19,134,34,30,168
2020-04-17,Beaver,2,67,10,10,77
2020-04-17,Berks,13,244,42,16,286
2020-04-17,Bradford,1,1,0,0,1
2020-04-17,Bucks,34,227,40,34,267
2020-04-17,Butler,3,10,8,2,18
2020-04-17,Carbon,2,13,1,6,14
2020-04-17,Chester,16,128,17,22,145
2020-04-17,Clarion,1,1,0,0,1
2020-04-17,Clearfield,1,1,0,0,1
2020-04-17,Columbia,1,12,2,0,14
2020-04-17,Cumberland,3,45,3,2,48
2020-04-17,Dauphin,3,36,2,1,38
2020-04-17,Delaware,37,375,38,49,413
2020-04-17,Erie,1,1,0,0,1
2020-04-17,Fayette,1,3,0,1,3
2020-04-17,Indiana,2,11,0,3,11
2020-04-17,Lackawanna,9,210,18,15,228
2020-04-17,Lancaster,18,223,52,24,275
2020-04-17,Lebanon,1,8,1,0,9
2020-04-17,Lehigh,11,124,26,12,150
2020-04-17,Luzerne,12,138,14,23,152
2020-04-17,Lycoming,1,0,1,0,1
2020-04-17,Mercer,1,1,0,0,1
2020-04-17,Monroe,7,63,18,13,81
2020-04-17,Montgomery,54,639,19,70,658
2020-04-17,Northampton,10,177,45,11,222
2020-04-17,Philadelphia,45,713,3,37,716
2020-04-17,Pike,1,17,1,1,18
2020-04-17,Susquehanna,3,36,3,1,39
2020-04-17,Washington,1,0,1,0,1
2020-04-17,Westmoreland,4,53,20,14,73
2020-04-17,York,2,3,1,0,4
2020-04-18,Adams,1,3,1,1,4
2020-04-18,Allegheny,27,159,48,34,207
2020-04-18,Beaver,3,166,10,26,176
2020-04-18,Berks,13,291,46,18,337
2020-04-18,Bucks,37,255,48,42,303
2020-04-18,Butler,3,10,9,2,19
2020-04-18,Carbon,2,29,1,7,30
2020-04-18,Chester,17,141,19,27,160
2020-04-18,Clarion,1,1,0,0,1
2020-04-18,Clearfield,1,1,0,0,1
2020-04-18,Columbia,1,13,2,0,15
2020-04-18,Cumberland,3,58,6,2,64
2020-04-18,Dauphin,3,45,2,3,47
2020-04-18,Delaware,37,397,41,54,438
2020-04-18,Erie,2,2,0,0,2
2020-04-18,Fayette,1,3,0,1,3
2020-04-18,Indiana,2,11,0,4,11
2020-04-18,Lackawanna,9,220,18,20,238
2020-04-18,Lancaster,18,238,53,25,291
2020-04-18,Lebanon,1,8,1,0,9
2020-04-18,Lehigh,14,140,28,12,168
2020-04-18,Luzerne,12,155,15,24,170
2020-04-18,Lycoming,1,0,1,0,1
2020-04-18,Mercer,1,1,0,0,1
2020-04-18,Monroe,7,65,18,15,83
2020-04-18,Montgomery,58,695,20,77,715
2020-04-18,Northampton,11,200,46,12,246
2020-04-18,Perry,1,2,0,0,2
2020-04-18,Philadelphia,46,735,3,36,738
2020-04-18,Pike,1,17,1,1,18
2020-04-18,Schuylkill,1,1,0,0,1
2020-04-18,Susquehanna,3,36,3,1,39
2020-04-18,Washington,3,4,1,1,5
2020-04-18,Westmoreland,4,80,20,14,100
2020-04-18,York,2,3,1,0,4
2020-04-19,Adams,1,5,1,1,6
2020-04-19,Allegheny,30,168,51,37,219
2020-04-19,Beaver,3,170,11,27,181
2020-04-19,Berks,14,333,47,36,380
2020-04-19,Bucks,38,272,51,48,323
2020-04-19,Butler,3,10,9,2,19
2020-04-19,Carbon,2,29,1,7,30
2020-04-19,Chester,19,147,19,28,166
2020-04-19,Clarion,1,1,0,0,1
2020-04-19,Clearfield,2,2,0,0,2
2020-04-19,Columbia,1,13,2,0,15
2020-04-19,Cumberland,3,64,6,2,70
2020-04-19,Dauphin,3,49,3,2,52
2020-04-19,Delaware,37,409,44,60,453
2020-04-19,Erie,2,2,0,0,2
2020-04-19,Fayette,1,3,0,1,3
2020-04-19,Indiana,2,11,0,4,11
2020-04-19,Lackawanna,9,224,18,23,242
2020-04-19,Lancaster,21,260,55,44,315
2020-04-19,Lebanon,1,8,1,0,9
2020-04-19,Lehigh,17,154,28,13,182
2020-04-19,Luzerne,12,165,15,27,180
2020-04-19,Lycoming,1,0,1,0,1
2020-04-19,Mercer,1,1,0,0,1
2020-04-19,Monroe,7,66,18,18,84
2020-04-19,Montgomery,64,761,20,121,781
2020-04-19,Northampton,12,214,48,19,262
2020-04-19,Perry,1,2,0,0,2
2020-04-19,Philadelphia,46,759,3,82,762
2020-04-19,Pike,1,18,1,1,19
2020-04-19,Schuylkill,1,1,0,0,1
2020-04-19,Susquehanna,3,40,3,3,43
2020-04-19,Washington,3,4,1,1,5
2020-04-19,Westmoreland,4,81,21,17,102
2020-04-19,York,2,4,1,0,5
2020-04-20,Adams,1,7,1,1,8
2020-04-20,Allegheny,31,179,57,39,236
2020-04-20,Beaver,3,181,11,30,192
2020-04-20,Berks,15,345,47,43,392
2020-04-20,Bucks,38,297,56,52,353
2020-04-20,Butler,3,10,9,2,19
2020-04-20,Carbon,2,29,2,7,31
2020-04-20,Chester,19,159,19,30,178
2020-04-20,Clarion,1,1,0,0,1
2020-04-20,Clearfield,2,2,0,0,2
2020-04-20,Columbia,1,13,2,0,15
2020-04-20,Cumberland,3,64,10,2,74
2020-04-20,Dauphin,3,54,4,2,58
2020-04-20,Delaware,37,427,45,68,472
2020-04-20,Erie,2,2,0,0,2
2020-04-20,Fayette,1,3,0,1,3
2020-04-20,Indiana,2,11,0,4,11
2020-04-20,Lackawanna,9,227,18,24,245
2020-04-20,Lancaster,22,269,56,50,325
2020-04-20,Lebanon,1,8,1,0,9
2020-04-20,Lehigh,17,158,29,13,187
2020-04-20,Luzerne,12,171,15,27,186
2020-04-20,Lycoming,2,0,2,0,2
2020-04-20,Mercer,1,1,0,0,1
2020-04-20,Monroe,7,66,18,18,84
2020-04-20,Montgomery,65,838,21,138,859
2020-04-20,Northampton,12,221,50,19,271
2020-04-20,Perry,1,4,0,0,4
2020-04-20,Philadelphia,47,795,3,89,798
2020-04-20,Pike,1,18,1,1,19
2020-04-20,Schuylkill,1,1,0,0,1
2020-04-20,Susquehanna,3,42,3,4,45
2020-04-20,Washington,3,6,1,1,7
2020-04-20,Westmoreland,4,85,22,17,107
2020-04-20,York,2,4,1,0,5
2020-04-21,Adams,1,8,3,1,11
2020-04-21,Allegheny,34,181,64,43,245
2020-04-21,Beaver,3,183,11,34,194
2020-04-21,Berks,18,349,48,48,397
2020-04-21,Bucks,40,321,59,63,380
2020-04-21,Butler,3,10,9,2,19
2020-04-21,Carbon,2,34,2,8,36
2020-04-21,Centre,1,1,0,1,1
2020-04-21,Chester,21,178,22,42,200
2020-04-21,Clarion,1,1,0,0,1
2020-04-21,Clearfield,2,2,0,0,2
2020-04-21,Columbia,2,53,10,8,63
2020-04-21,Cumberland,3,73,11,4,84
2020-04-21,Dauphin,3,56,9,3,65
2020-04-21,Delaware,39,466,51,71,517
2020-04-21,Erie,2,2,0,0,2
2020-04-21,Fayette,1,3,0,1,3
2020-04-21,Indiana,2,11,0,4,11
2020-04-21,Lackawanna,9,234,20,31,254
2020-04-21,Lancaster,22,291,60,56,351
2020-04-21,Lebanon,1,9,1,0,10
2020-04-21,Lehigh,19,178,33,18,211
2020-04-21,Luzerne,11,152,12,28,164
2020-04-21,Lycoming,2,0,2,0,2
2020-04-21,Mercer,1,1,0,0,1
2020-04-21,Mifflin,1,0,1,0,1
2020-04-21,Monroe,7,66,21,18,87
2020-04-21,Montgomery,66,879,26,151,905
2020-04-21,Northampton,11,254,62,22,316
2020-04-21,Northumberland,1,1,0,0,1
2020-04-21,Perry,1,4,0,0,4
2020-04-21,Philadelphia,49,864,3,112,867
2020-04-21,Pike,1,19,1,3,20
2020-04-21,Schuylkill,2,1,1,0,2
2020-04-21,Susquehanna,3,44,4,4,48
2020-04-21,Washington,3,6,2,1,8
2020-04-21,Westmoreland,5,86,23,18,109
2020-04-21,York,3,5,1,1,6
2020-04-22,Adams,1,8,3,1,11
2020-04-22,Allegheny,33,199,69,48,268
2020-04-22,Armstrong,1,1,0,0,1
2020-04-22,Beaver,3,191,11,38,202
2020-04-22,Berks,18,353,53,50,406
2020-04-22,Bucks,42,350,64,72,414
2020-04-22,Butler,3,10,9,2,19
2020-04-22,Carbon,2,34,3,8,37
2020-04-22,Centre,1,1,0,1,1
2020-04-22,Chester,23,196,24,44,220
2020-04-22,Clarion,1,1,0,0,1
2020-04-22,Clearfield,2,2,0,0,2
2020-04-22,Columbia,2,61,11,9,72
2020-04-22,Cumberland,3,76,16,4,92
2020-04-22,Dauphin,3,59,10,5,69
2020-04-22,Delaware,40,488,55,74,543
2020-04-22,Erie,2,2,0,0,2
2020-04-22,Fayette,1,3,0,1,3
2020-04-22,Indiana,2,11,0,4,11
2020-04-22,Lackawanna,10,248,23,36,271
2020-04-22,Lancaster,22,305,62,57,367
2020-04-22,Lebanon,1,9,1,0,10
2020-04-22,Lehigh,18,212,37,20,249
2020-04-22,Luzerne,12,164,13,34,177
2020-04-22,Lycoming,2,1,2,0,3
2020-04-22,Mercer,1,1,0,0,1
2020-04-22,Mifflin,1,0,1,0,1
2020-04-22,Monroe,7,69,21,18,90
2020-04-22,Montgomery,70,942,27,157,969
2020-04-22,Northampton,12,270,67,22,337
2020-04-22,Northumberland,1,1,0,0,1
2020-04-22,Perry,1,4,0,0,4
2020-04-22,Philadelphia,49,902,3,113,905
2020-04-22,Pike,1,19,1,3,20
2020-04-22,Schuylkill,2,1,1,0,2
2020-04-22,Susquehanna,3,44,4,4,48
2020-04-22,Washington,3,6,2,1,8
2020-04-22,Westmoreland,5,88,23,18,111
2020-04-22,York,3,5,1,1,6
2020-04-23,Adams,1,9,3,1,12
2020-04-23,Allegheny,32,227,74,49,301
2020-04-23,Armstrong,1,1,0,0,1
2020-04-23,Beaver,3,193,11,39,204
2020-04-23,Berks,17,365,55,49,420
2020-04-23,Bucks,41,383,76,73,459
2020-04-23,Butler,3,10,9,2,19
2020-04-23,Carbon,2,33,3,7,36
2020-04-23,Chester,22,217,24,49,241
2020-04-23,Clarion,1,1,1,0,2
2020-04-23,Clearfield,2,2,0,0,2
2020-04-23,Columbia,2,65,11,9,76
2020-04-23,Cumberland,3,86,17,6,103
2020-04-23,Dauphin,3,61,11,8,72
2020-04-23,Delaware,40,538,60,83,598
2020-04-23,Erie,3,2,1,0,3
2020-04-23,Fayette,1,3,0,1,3
2020-04-23,Indiana,2,11,0,4,11
2020-04-23,Lackawanna,10,261,29,39,290
2020-04-23,Lancaster,22,313,68,55,381
2020-04-23,Lawrence,1,0,1,0,1
2020-04-23,Lebanon,1,10,2,1,12
2020-04-23,Lehigh,19,235,38,25,273
2020-04-23,Luzerne,13,178,15,36,193
2020-04-23,Lycoming,2,1,2,0,3
2020-04-23,Mercer,1,1,0,0,1
2020-04-23,Mifflin,1,0,1,0,1
2020-04-23,Monroe,8,74,22,18,96
2020-04-23,Montgomery,69,1012,29,156,1041
2020-04-23,Northampton,12,295,71,23,366
2020-04-23,Northumberland,1,1,0,0,1
2020-04-23,Perry,1,4,0,0,4
2020-04-23,Philadelphia,51,925,4,91,929
2020-04-23,Pike,1,18,1,2,19
2020-04-23,Schuylkill,2,1,1,0,2
2020-04-23,Susquehanna,3,44,5,4,49
2020-04-23,Washington,3,6,2,1,8
2020-04-23,Westmoreland,5,88,25,18,113
2020-04-23,York,3,5,1,0,6
2020-04-24,Adams,1,14,3,1,17
2020-04-24,Allegheny,32,246,78,50,324
2020-04-24,Armstrong,1,1,0,0,1
2020-04-24,Beaver,3,204,16,39,220
2020-04-24,Berks,18,398,55,49,453
2020-04-24,Bucks,42,433,81,82,514
2020-04-24,Butler,3,10,9,2,19
2020-04-24,Carbon,2,38,3,10,41
2020-04-24,Chester,23,250,27,61,277
2020-04-24,Clarion,1,1,1,0,2
2020-04-24,Clearfield,2,2,0,0,2
2020-04-24,Columbia,2,66,12,9,78
2020-04-24,Cumberland,3,91,20,7,111
2020-04-24,Dauphin,3,66,11,10,77
2020-04-24,Delaware,40,579,61,90,640
2020-04-24,Erie,3,2,1,0,3
2020-04-24,Fayette,1,3,0,1,3
2020-04-24,Franklin,1,1,0,0,1
2020-04-24,Indiana,3,12,1,4,13
2020-04-24,Lackawanna,12,273,37,44,310
2020-04-24,Lancaster,23,327,72,57,399
2020-04-24,Lawrence,1,0,1,0,1
2020-04-24,Lebanon,1,11,2,1,13
2020-04-24,Lehigh,19,252,40,29,292
2020-04-24,Luzerne,13,190,19,39,209
2020-04-24,Lycoming,2,1,2,0,3
2020-04-24,Mercer,1,1,0,0,1
2020-04-24,Mifflin,1,0,1,0,1
2020-04-24,Monroe,8,76,23,18,99
2020-04-24,Montgomery,72,1099,31,161,1130
2020-04-24,Northampton,12,315,75,23,390
2020-04-24,Northumberland,1,1,0,0,1
2020-04-24,Perry,1,4,0,0,4
2020-04-24,Philadelphia,50,1022,4,91,1026
2020-04-24,Pike,1,18,1,2,19
2020-04-24,Schuylkill,2,1,1,0,2
2020-04-24,Susquehanna,3,44,9,4,53
2020-04-24,Washington,3,6,2,1,8
2020-04-24,Westmoreland,5,90,26,18,116
2020-04-24,York,3,5,1,0,6
2020-04-25,Adams,1,14,3,1,17
2020-04-25,Allegheny,32,251,81,52,332
2020-04-25,Armstrong,1,2,0,0,2
2020-04-25,Beaver,3,225,16,39,241
2020-04-25,Berks,18,406,55,49,461
2020-04-25,Bucks,43,482,85,89,567
2020-04-25,Butler,3,10,9,2,19
2020-04-25,Carbon,2,38,3,10,41
2020-04-25,Chester,26,273,31,66,304
2020-04-25,Clarion,1,1,1,0,2
2020-04-25,Clearfield,2,2,0,0,2
2020-04-25,Columbia,2,67,14,9,81
2020-04-25,Cumberland,3,97,28,7,125
2020-04-25,Dauphin,3,68,13,9,81
2020-04-25,Delaware,41,617,71,100,688
2020-04-25,Erie,3,3,1,0,4
2020-04-25,Fayette,1,3,0,1,3
2020-04-25,Franklin,1,2,0,0,2
2020-04-25,Indiana,3,12,1,4,13
2020-04-25,Lackawanna,12,285,40,46,325
2020-04-25,Lancaster,23,341,76,57,417
2020-04-25,Lawrence,1,0,1,0,1
2020-04-25,Lebanon,1,14,2,2,16
2020-04-25,Lehigh,20,281,46,31,327
2020-04-25,Luzerne,14,203,23,43,226
2020-04-25,Lycoming,2,2,2,0,4
2020-04-25,Mercer,1,1,0,0,1
2020-04-25,Mifflin,1,0,1,0,1
2020-04-25,Monroe,8,82,24,18,106
2020-04-25,Montgomery,72,1143,31,167,1174
2020-04-25,Northampton,12,341,79,23,420
2020-04-25,Northumberland,1,1,1,0,2
2020-04-25,Perry,1,4,0,0,4
2020-04-25,Philadelphia,50,1079,4,91,1083
2020-04-25,Pike,1,18,1,2,19
2020-04-25,Schuylkill,2,1,1,0,2
2020-04-25,Susquehanna,3,44,9,4,53
2020-04-25,Washington,3,6,2,1,8
2020-04-25,Westmoreland,5,120,26,19,146
2020-04-25,York,3,5,1,0,6
2020-04-26,Adams,1,14,3,1,17
2020-04-26,Allegheny,32,254,82,52,336
2020-04-26,Armstrong,1,2,0,0,2
2020-04-26,Beaver,3,229,17,39,246
2020-04-26,Berks,19,427,59,50,486
2020-04-26,Bucks,43,518,91,93,609
2020-04-26,Butler,3,10,9,2,19
2020-04-26,Carbon,2,38,3,10,41
2020-04-26,Chester,26,286,32,66,318
2020-04-26,Clarion,1,1,1,0,2
2020-04-26,Clearfield,2,2,0,0,2
2020-04-26,Columbia,2,70,16,9,86
2020-04-26,Cumberland,3,111,30,7,141
2020-04-26,Dauphin,3,75,13,9,88
2020-04-26,Delaware,42,636,78,101,714
2020-04-26,Erie,4,2,2,0,4
2020-04-26,Fayette,1,3,0,1,3
2020-04-26,Franklin,1,7,0,1,7
2020-04-26,Indiana,3,13,1,4,14
2020-04-26,Lackawanna,12,291,42,46,333
2020-04-26,Lancaster,23,361,78,57,439
2020-04-26,Lawrence,1,0,1,0,1
2020-04-26,Lebanon,1,17,2,2,19
2020-04-26,Lehigh,21,292,48,32,340
2020-04-26,Luzerne,14,217,24,44,241
2020-04-26,Lycoming,2,2,3,0,5
